trainingdata,dim,n,m,track,rank,step,l,acc,model,C
jrnd,30,6,5,cma,a,3,12034,65.5310,PREF,10
jrnd,30,6,5,cma,a,4,12238,62.4612,PREF,10
jrnd,30,6,5,cma,a,5,12334,59.4454,PREF,10
jrnd,30,6,5,cma,a,6,12118,64.1525,PREF,10
jrnd,30,6,5,cma,a,7,11644,64.3078,PREF,10
jrnd,30,6,5,cma,a,8,11662,60.7614,PREF,10
jrnd,30,6,5,cma,a,9,11466,62.0792,PREF,10
jrnd,30,6,5,cma,a,10,10980,61.9308,PREF,10
jrnd,30,6,5,cma,a,11,10754,63.4555,PREF,10
jrnd,30,6,5,cma,a,12,10616,60.8327,PREF,10
jrnd,30,6,5,cma,a,13,10304,61.6848,PREF,10
jrnd,30,6,5,cma,a,14,9928,63.7792,PREF,10
jrnd,30,6,5,cma,a,15,9900,68.1414,PREF,10
jrnd,30,6,5,cma,a,16,9644,68.3326,PREF,10
jrnd,30,6,5,cma,a,17,9366,67.6062,PREF,10
jrnd,30,6,5,cma,a,18,8972,68.3683,PREF,10
jrnd,30,6,5,cma,a,19,8514,72.3984,PREF,10
jrnd,30,6,5,cma,a,20,8478,75.9141,PREF,10
jrnd,30,6,5,cma,a,21,8066,79.0974,PREF,10
jrnd,30,6,5,cma,a,22,7290,81.2071,PREF,10
jrnd,30,6,5,cma,a,23,6688,82.4163,PREF,10
jrnd,30,6,5,cma,a,24,5700,84.7018,PREF,10
jrnd,30,6,5,cma,a,25,4246,87.9887,PREF,10
jrnd,30,6,5,cma,a,26,2590,94.5174,PREF,10
jrnd,30,6,5,cma,a,27,1126,96.0924,PREF,10
jrnd,30,6,5,cma,a,28,304,100.0000,PREF,10
jrnd,30,6,5,cma,a,29,32,100.0000,PREF,10
jrnd,30,6,5,rnd,b,1,6632,54.0712,PREF,10
jrnd,30,6,5,rnd,b,2,6548,62.0953,PREF,10
jrnd,30,6,5,rnd,b,3,6536,65.2387,PREF,10
jrnd,30,6,5,rnd,b,4,6258,67.1461,PREF,10
jrnd,30,6,5,rnd,b,5,6276,69.0249,PREF,10
jrnd,30,6,5,rnd,b,6,5970,68.8107,PREF,10
jrnd,30,6,5,rnd,b,7,5894,69.0533,PREF,10
jrnd,30,6,5,rnd,b,8,5770,70.5026,PREF,10
jrnd,30,6,5,rnd,b,9,5520,70.9783,PREF,10
jrnd,30,6,5,rnd,b,10,5352,72.1973,PREF,10
jrnd,30,6,5,rnd,b,11,5114,73.9147,PREF,10
jrnd,30,6,5,rnd,b,12,4900,74.1224,PREF,10
jrnd,30,6,5,rnd,b,13,4838,75.4444,PREF,10
jrnd,30,6,5,rnd,b,14,4538,75.1432,PREF,10
jrnd,30,6,5,rnd,b,15,4406,75.6241,PREF,10
jrnd,30,6,5,rnd,b,16,3908,75.4862,PREF,10
jrnd,30,6,5,rnd,b,17,3674,78.7153,PREF,10
jrnd,30,6,5,rnd,b,18,3326,79.2544,PREF,10
jrnd,30,6,5,rnd,b,19,2946,79.0224,PREF,10
jrnd,30,6,5,rnd,b,20,2594,80.5705,PREF,10
jrnd,30,6,5,rnd,b,21,2118,79.0368,PREF,10
jrnd,30,6,5,rnd,b,22,1768,81.6742,PREF,10
jrnd,30,6,5,rnd,b,23,1386,84.9928,PREF,10
jrnd,30,6,5,rnd,b,24,998,86.7735,PREF,10
jrnd,30,6,5,rnd,b,25,754,87.7984,PREF,10
jrnd,30,6,5,rnd,b,26,464,93.1034,PREF,10
jrnd,30,6,5,rnd,b,27,266,92.4812,PREF,10
jrnd,30,6,5,rnd,b,28,104,98.0769,PREF,10
jrnd,30,6,5,rnd,b,29,20,100.0000,PREF,10
jrnd,30,6,5,rnd,f,1,5140,57.6265,PREF,10
jrnd,30,6,5,rnd,f,2,5106,61.9663,PREF,10
jrnd,30,6,5,rnd,f,3,5084,65.0669,PREF,10
jrnd,30,6,5,rnd,f,4,4856,67.9572,PREF,10
jrnd,30,6,5,rnd,f,5,4950,68.8485,PREF,10
jrnd,30,6,5,rnd,f,6,4714,65.3373,PREF,10
jrnd,30,6,5,rnd,f,7,4706,67.3608,PREF,10
jrnd,30,6,5,rnd,f,8,4580,64.8908,PREF,10
jrnd,30,6,5,rnd,f,9,4324,72.1092,PREF,10
jrnd,30,6,5,rnd,f,10,4214,70.5743,PREF,10
jrnd,30,6,5,rnd,f,11,4080,73.1863,PREF,10
jrnd,30,6,5,rnd,f,12,3914,71.0782,PREF,10
jrnd,30,6,5,rnd,f,13,3914,73.7353,PREF,10
jrnd,30,6,5,rnd,f,14,3672,74.0196,PREF,10
jrnd,30,6,5,rnd,f,15,3570,73.6695,PREF,10
jrnd,30,6,5,rnd,f,16,3192,77.5063,PREF,10
jrnd,30,6,5,rnd,f,17,2998,77.1848,PREF,10
jrnd,30,6,5,rnd,f,18,2806,81.9672,PREF,10
jrnd,30,6,5,rnd,f,19,2516,79.4118,PREF,10
jrnd,30,6,5,rnd,f,20,2292,81.0646,PREF,10
jrnd,30,6,5,rnd,f,21,1836,79.3028,PREF,10
jrnd,30,6,5,rnd,f,22,1608,83.0846,PREF,10
jrnd,30,6,5,rnd,f,23,1280,85.1562,PREF,10
jrnd,30,6,5,rnd,f,24,948,86.7089,PREF,10
jrnd,30,6,5,rnd,f,25,740,89.1892,PREF,10
jrnd,30,6,5,rnd,f,26,458,96.0699,PREF,10
jrnd,30,6,5,rnd,f,27,264,100.0000,PREF,10
jrnd,30,6,5,rnd,f,28,104,98.0769,PREF,10
jrnd,30,6,5,rnd,f,29,20,100.0000,PREF,10
jrnd,30,6,5,rnd,p,1,4550,57.1429,PREF,10
jrnd,30,6,5,rnd,p,2,4470,63.3110,PREF,10
jrnd,30,6,5,rnd,p,3,4500,65.1111,PREF,10
jrnd,30,6,5,rnd,p,4,4380,67.8082,PREF,10
jrnd,30,6,5,rnd,p,5,4290,68.5315,PREF,10
jrnd,30,6,5,rnd,p,6,4190,66.8258,PREF,10
jrnd,30,6,5,rnd,p,7,4240,66.0377,PREF,10
jrnd,30,6,5,rnd,p,8,4184,65.9178,PREF,10
jrnd,30,6,5,rnd,p,9,4014,71.5496,PREF,10
jrnd,30,6,5,rnd,p,10,3910,71.0486,PREF,10
jrnd,30,6,5,rnd,p,11,3734,72.4156,PREF,10
jrnd,30,6,5,rnd,p,12,3580,70.7263,PREF,10
jrnd,30,6,5,rnd,p,13,3590,74.8747,PREF,10
jrnd,30,6,5,rnd,p,14,3424,74.0070,PREF,10
jrnd,30,6,5,rnd,p,15,3342,74.0275,PREF,10
jrnd,30,6,5,rnd,p,16,3000,77.2667,PREF,10
jrnd,30,6,5,rnd,p,17,2862,77.2187,PREF,10
jrnd,30,6,5,rnd,p,18,2730,81.4652,PREF,10
jrnd,30,6,5,rnd,p,19,2412,79.0216,PREF,10
jrnd,30,6,5,rnd,p,20,2204,80.9437,PREF,10
jrnd,30,6,5,rnd,p,21,1786,79.1713,PREF,10
